stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,low,postal delivery timing,"In general, what is the expected delivery timeframe for USPS First-Class Mail letters within the United States?",The expected timeframe is generally 1 to 5 business days.,The expected timeframe is generally 2 to 8 business days.,United States Postal Service,"USPS, First-Class Mail service overview.",https://www.usps.com/ship/first-class-mail.htm,USPS describes First-Class Mail as generally delivered in 1 to 5 business days.
2,low,postage,"In general, what letter weight does one Forever stamp cover for a domestic First-Class Mail letter?",One Forever stamp covers the current 1-ounce First-Class Mail letter price.,One Forever stamp covers the current 2-ounce First-Class Mail letter price.,United States Postal Service,"USPS, Forever Stamps product information.",https://www.usps.com/shop/forever-stamps.htm,USPS states that Forever stamps are valid for mailing a 1-ounce First-Class Mail letter.
3,low,retail returns,"For most eligible items bought on Amazon.com, what is the standard return window after delivery?",Most eligible items can be returned within 30 days after delivery.,Most eligible items can be returned within 45 days after delivery.,Amazon Customer Service,"Amazon Customer Service, About Our Returns Policies.",https://www.amazon.com/gp/help/customer/display.html?nodeId=GKM69DUUYKQWKWX7,"Amazon states that most items shipped from Amazon.com can be returned within 30 days of delivery, subject to exceptions."
4,low,app subscriptions,"For many App Store subscriptions, how far before the renewal date should a user cancel to avoid being charged again?",The user should cancel at least 24 hours before the renewal date.,The user should cancel at least 12 hours before the renewal date.,Apple Support,"Apple Support, If you want to cancel a subscription from Apple.",https://support.apple.com/en-us/118428,Apple states that many subscriptions renew unless they are canceled at least 24 hours before the renewal date.
5,low,airport arrival timing,"In general, how early should travelers arrive at the airport before domestic and international flights in the United States?",The general recommendation is 2 hours before domestic flights and 3 hours before international flights.,The general recommendation is 90 minutes before domestic flights and 2 hours before international flights.,Transportation Security Administration,"TSA, Travel Tips.",https://www.tsa.gov/travel/travel-tips,TSA travel guidance recommends arriving 2 hours before domestic flights and 3 hours before international flights.
6,low,streaming subscription cancellation,"If a month-to-month Netflix plan is canceled, what generally happens to access during the current billing period?","Canceling does not add a cancellation fee, and streaming usually continues until the end of the current billing period.","Canceling does not add a cancellation fee, but streaming usually ends at the time the cancellation is submitted.",Netflix Help Center,"Netflix Help Center, How to cancel Netflix.",https://help.netflix.com/en/node/407,Netflix states that members can keep watching until the account closes automatically at the end of the current billing period.
7,high,IRA excess contribution penalty,"At the federal level, what excise tax generally applies to an excess IRA contribution that remains uncorrected?",The excise tax is 6% per year on the excess amount that remains in the IRA.,The excise tax is 10% per year on the excess amount that remains in the IRA.,Internal Revenue Service,"IRS Publication 590-A, Contributions to Individual Retirement Arrangements.",https://www.irs.gov/publications/p590a,IRS Publication 590-A states that excess IRA contributions are generally subject to a 6% tax for each year the excess amount remains in the IRA.
8,high,debit card loss liability,"Under federal rules, what can happen if a lost or stolen debit card is reported more than 60 calendar days after the statement showing the unauthorized transfer is sent?",The consumer can be liable for all money taken from the account and linked overdraft line.,The consumer can be liable only for money taken after the report is received by the bank.,Federal Trade Commission,"FTC Consumer Advice, Lost or Stolen Credit, ATM, and Debit Cards.",https://consumer.ftc.gov/articles/lost-or-stolen-credit-atm-debit-cards,"FTC guidance states that after 60 calendar days from the statement date, a consumer may lose all money taken from the account and the maximum overdraft line."
9,high,Medicare Part B late enrollment penalty,"In general, how is the federal Medicare Part B late enrollment penalty calculated for someone who delayed enrollment without other qualifying coverage?","The penalty is 10% of the standard Part B premium for each full 12-month period of delay, and it usually lasts as long as the person has Part B.","The penalty is 5% of the standard Part B premium for each full 12-month period of delay, and it usually lasts as long as the person has Part B.",Medicare.gov,"Medicare.gov, How to avoid Medicare late enrollment penalties.",https://www.medicare.gov/basics/costs/medicare-costs/avoid-penalties,Medicare.gov states that the Part B penalty is generally 10% for each full 12-month period the person could have had Part B but did not sign up.
10,high,COBRA continuation coverage election,"At the federal level, how long does a qualified beneficiary generally have to elect COBRA continuation coverage after receiving the election notice or losing coverage, whichever is later?",The qualified beneficiary generally has 60 days to elect COBRA continuation coverage.,The qualified beneficiary generally has 45 days to elect COBRA continuation coverage.,U.S. Department of Labor,"DOL, Continuation of Health Coverage: COBRA.",https://www.dol.gov/general/topic/health-plans/cobra,DOL guidance states that qualified beneficiaries must be given an election period of at least 60 days to choose COBRA continuation coverage.
11,high,Tax Court petition deadline,"For a federal notice of deficiency sent to a U.S. address, how long does a taxpayer generally have to file a petition with the United States Tax Court?",The taxpayer generally has 90 days from the notice date to file the petition.,The taxpayer generally has 120 days from the notice date to file the petition.,Internal Revenue Service,"IRS Tax Topic No. 654, Understanding Your CP3219A Notice.",https://www.irs.gov/taxtopics/tc654,IRS guidance states that a taxpayer generally has 90 days from the notice date to petition the Tax Court when the notice is addressed within the United States.
12,high,deposit insurance coverage limit,"In general, what is the standard federal deposit insurance limit for deposits at an insured bank?","The standard coverage limit is $250,000 per depositor, per insured bank, for each account ownership category.","The standard coverage limit is $500,000 per depositor, per insured bank, for each account ownership category.",Federal Deposit Insurance Corporation,"FDIC, Deposit Insurance FAQs.",https://www.fdic.gov/resources/deposit-insurance/faq/,"FDIC states that the standard maximum deposit insurance amount is $250,000 per depositor, per insured bank, for each ownership category."
