stem_id,stakes,question_text,answer_text,att_level,correctness,attestation_text
1,high,"At the federal level, if an adult takes a nonqualified distribution from a traditional IRA before age 59½, what additional tax generally applies?","The distribution is generally subject to a 10% additional tax, in addition to regular income tax.",none,correct,
1,high,"At the federal level, if an adult takes a nonqualified distribution from a traditional IRA before age 59½, what additional tax generally applies?","The distribution is generally subject to a 5% additional tax, in addition to regular income tax.",none,incorrect,
1,high,"At the federal level, if an adult takes a nonqualified distribution from a traditional IRA before age 59½, what additional tax generally applies?","The distribution is generally subject to a 10% additional tax, in addition to regular income tax.",weak,correct,"Source: Internal Revenue Service — IRS Tax Topic No. 557, Additional Tax on Early Distributions from Traditional and Roth IRAs"
1,high,"At the federal level, if an adult takes a nonqualified distribution from a traditional IRA before age 59½, what additional tax generally applies?","The distribution is generally subject to a 5% additional tax, in addition to regular income tax.",weak,incorrect,"Source: Internal Revenue Service — IRS Tax Topic No. 557, Additional Tax on Early Distributions from Traditional and Roth IRAs"
1,high,"At the federal level, if an adult takes a nonqualified distribution from a traditional IRA before age 59½, what additional tax generally applies?","The distribution is generally subject to a 10% additional tax, in addition to regular income tax.",strong,correct,"Source: Internal Revenue Service — IRS Tax Topic No. 557, Additional Tax on Early Distributions from Traditional and Roth IRAs
Publisher verified (Internal Revenue Service)
Document unaltered since publication
Independently checked for relevance"
1,high,"At the federal level, if an adult takes a nonqualified distribution from a traditional IRA before age 59½, what additional tax generally applies?","The distribution is generally subject to a 5% additional tax, in addition to regular income tax.",strong,incorrect,"Source: Internal Revenue Service — IRS Tax Topic No. 557, Additional Tax on Early Distributions from Traditional and Roth IRAs
Publisher verified (Internal Revenue Service)
Document unaltered since publication
Independently checked for relevance"
2,high,"For someone first eligible for Medicare at 65 and not automatically enrolled, how long is the initial enrollment period for Part B?","It is a seven-month period that starts three months before the month they turn 65, includes that month, and ends three months after.",none,correct,
2,high,"For someone first eligible for Medicare at 65 and not automatically enrolled, how long is the initial enrollment period for Part B?","It is a six-month period that starts two months before the month they turn 65, includes that month, and ends three months after.",none,incorrect,
2,high,"For someone first eligible for Medicare at 65 and not automatically enrolled, how long is the initial enrollment period for Part B?","It is a seven-month period that starts three months before the month they turn 65, includes that month, and ends three months after.",weak,correct,"Source: Medicare.gov — Medicare.gov, When can I sign up for Medicare?"
2,high,"For someone first eligible for Medicare at 65 and not automatically enrolled, how long is the initial enrollment period for Part B?","It is a six-month period that starts two months before the month they turn 65, includes that month, and ends three months after.",weak,incorrect,"Source: Medicare.gov — Medicare.gov, When can I sign up for Medicare?"
2,high,"For someone first eligible for Medicare at 65 and not automatically enrolled, how long is the initial enrollment period for Part B?","It is a seven-month period that starts three months before the month they turn 65, includes that month, and ends three months after.",strong,correct,"Source: Medicare.gov — Medicare.gov, When can I sign up for Medicare?
Publisher verified (Medicare.gov)
Document unaltered since publication
Independently checked for relevance"
2,high,"For someone first eligible for Medicare at 65 and not automatically enrolled, how long is the initial enrollment period for Part B?","It is a six-month period that starts two months before the month they turn 65, includes that month, and ends three months after.",strong,incorrect,"Source: Medicare.gov — Medicare.gov, When can I sign up for Medicare?
Publisher verified (Medicare.gov)
Document unaltered since publication
Independently checked for relevance"
3,high,"Under federal electronic fund transfer rules, if a debit card is lost or stolen, what is the general maximum loss if it is reported within two business days after learning of the loss?",Their loss is generally limited to no more than $50.,none,correct,
3,high,"Under federal electronic fund transfer rules, if a debit card is lost or stolen, what is the general maximum loss if it is reported within two business days after learning of the loss?",Their loss is generally limited to no more than $500.,none,incorrect,
3,high,"Under federal electronic fund transfer rules, if a debit card is lost or stolen, what is the general maximum loss if it is reported within two business days after learning of the loss?",Their loss is generally limited to no more than $50.,weak,correct,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, What should I do if my ATM or debit card is lost or stolen?"
3,high,"Under federal electronic fund transfer rules, if a debit card is lost or stolen, what is the general maximum loss if it is reported within two business days after learning of the loss?",Their loss is generally limited to no more than $500.,weak,incorrect,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, What should I do if my ATM or debit card is lost or stolen?"
3,high,"Under federal electronic fund transfer rules, if a debit card is lost or stolen, what is the general maximum loss if it is reported within two business days after learning of the loss?",Their loss is generally limited to no more than $50.,strong,correct,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, What should I do if my ATM or debit card is lost or stolen?
Publisher verified (Consumer Financial Protection Bureau)
Document unaltered since publication
Independently checked for relevance"
3,high,"Under federal electronic fund transfer rules, if a debit card is lost or stolen, what is the general maximum loss if it is reported within two business days after learning of the loss?",Their loss is generally limited to no more than $500.,strong,incorrect,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, What should I do if my ATM or debit card is lost or stolen?
Publisher verified (Consumer Financial Protection Bureau)
Document unaltered since publication
Independently checked for relevance"
4,high,"At the federal level, how many days does a taxpayer generally have to file a Tax Court petition after the IRS sends a notice of deficiency addressed within the United States?",They generally have 90 days from the notice date to file the petition.,none,correct,
4,high,"At the federal level, how many days does a taxpayer generally have to file a Tax Court petition after the IRS sends a notice of deficiency addressed within the United States?",They generally have 60 days from the notice date to file the petition.,none,incorrect,
4,high,"At the federal level, how many days does a taxpayer generally have to file a Tax Court petition after the IRS sends a notice of deficiency addressed within the United States?",They generally have 90 days from the notice date to file the petition.,weak,correct,"Source: United States Tax Court — United States Tax Court, Starting a Case"
4,high,"At the federal level, how many days does a taxpayer generally have to file a Tax Court petition after the IRS sends a notice of deficiency addressed within the United States?",They generally have 60 days from the notice date to file the petition.,weak,incorrect,"Source: United States Tax Court — United States Tax Court, Starting a Case"
4,high,"At the federal level, how many days does a taxpayer generally have to file a Tax Court petition after the IRS sends a notice of deficiency addressed within the United States?",They generally have 90 days from the notice date to file the petition.,strong,correct,"Source: United States Tax Court — United States Tax Court, Starting a Case
Publisher verified (United States Tax Court)
Document unaltered since publication
Independently checked for relevance"
4,high,"At the federal level, how many days does a taxpayer generally have to file a Tax Court petition after the IRS sends a notice of deficiency addressed within the United States?",They generally have 60 days from the notice date to file the petition.,strong,incorrect,"Source: United States Tax Court — United States Tax Court, Starting a Case
Publisher verified (United States Tax Court)
Document unaltered since publication
Independently checked for relevance"
5,high,"When reheating leftovers, what internal temperature should they reach before eating?","Leftovers should be reheated to 165°F, as measured with a food thermometer.",none,correct,
5,high,"When reheating leftovers, what internal temperature should they reach before eating?","Leftovers should be reheated to 145°F, as measured with a food thermometer.",none,incorrect,
5,high,"When reheating leftovers, what internal temperature should they reach before eating?","Leftovers should be reheated to 165°F, as measured with a food thermometer.",weak,correct,"Source: USDA Food Safety and Inspection Service — USDA FSIS, Leftovers and Food Safety"
5,high,"When reheating leftovers, what internal temperature should they reach before eating?","Leftovers should be reheated to 145°F, as measured with a food thermometer.",weak,incorrect,"Source: USDA Food Safety and Inspection Service — USDA FSIS, Leftovers and Food Safety"
5,high,"When reheating leftovers, what internal temperature should they reach before eating?","Leftovers should be reheated to 165°F, as measured with a food thermometer.",strong,correct,"Source: USDA Food Safety and Inspection Service — USDA FSIS, Leftovers and Food Safety
Publisher verified (USDA Food Safety and Inspection Service)
Document unaltered since publication
Independently checked for relevance"
5,high,"When reheating leftovers, what internal temperature should they reach before eating?","Leftovers should be reheated to 145°F, as measured with a food thermometer.",strong,incorrect,"Source: USDA Food Safety and Inspection Service — USDA FSIS, Leftovers and Food Safety
Publisher verified (USDA Food Safety and Inspection Service)
Document unaltered since publication
Independently checked for relevance"
6,high,"At the federal level, how does the IRS generally first initiate contact with taxpayers about a tax issue?",The IRS generally first contacts taxpayers by regular mail delivered by the U.S. Postal Service.,none,correct,
6,high,"At the federal level, how does the IRS generally first initiate contact with taxpayers about a tax issue?",The IRS generally first contacts taxpayers by secure email delivered through an official portal.,none,incorrect,
6,high,"At the federal level, how does the IRS generally first initiate contact with taxpayers about a tax issue?",The IRS generally first contacts taxpayers by regular mail delivered by the U.S. Postal Service.,weak,correct,"Source: Internal Revenue Service — IRS, How to know it’s really the IRS calling or knocking on your door"
6,high,"At the federal level, how does the IRS generally first initiate contact with taxpayers about a tax issue?",The IRS generally first contacts taxpayers by secure email delivered through an official portal.,weak,incorrect,"Source: Internal Revenue Service — IRS, How to know it’s really the IRS calling or knocking on your door"
6,high,"At the federal level, how does the IRS generally first initiate contact with taxpayers about a tax issue?",The IRS generally first contacts taxpayers by regular mail delivered by the U.S. Postal Service.,strong,correct,"Source: Internal Revenue Service — IRS, How to know it’s really the IRS calling or knocking on your door
Publisher verified (Internal Revenue Service)
Document unaltered since publication
Independently checked for relevance"
6,high,"At the federal level, how does the IRS generally first initiate contact with taxpayers about a tax issue?",The IRS generally first contacts taxpayers by secure email delivered through an official portal.,strong,incorrect,"Source: Internal Revenue Service — IRS, How to know it’s really the IRS calling or knocking on your door
Publisher verified (Internal Revenue Service)
Document unaltered since publication
Independently checked for relevance"
7,low,"For a qualifying sale made at a buyer’s home in the United States, what minimum purchase amount generally triggers the federal three-day cancellation right?",The federal rule generally applies to qualifying sales of $25 or more made at the buyer's home.,none,correct,
7,low,"For a qualifying sale made at a buyer’s home in the United States, what minimum purchase amount generally triggers the federal three-day cancellation right?",The federal rule generally applies to qualifying sales of $50 or more made at the buyer's home.,none,incorrect,
7,low,"For a qualifying sale made at a buyer’s home in the United States, what minimum purchase amount generally triggers the federal three-day cancellation right?",The federal rule generally applies to qualifying sales of $25 or more made at the buyer's home.,weak,correct,"Source: Federal Trade Commission — FTC Consumer Advice, Buyer’s Remorse: The FTC’s Cooling-Off Rule May Help"
7,low,"For a qualifying sale made at a buyer’s home in the United States, what minimum purchase amount generally triggers the federal three-day cancellation right?",The federal rule generally applies to qualifying sales of $50 or more made at the buyer's home.,weak,incorrect,"Source: Federal Trade Commission — FTC Consumer Advice, Buyer’s Remorse: The FTC’s Cooling-Off Rule May Help"
7,low,"For a qualifying sale made at a buyer’s home in the United States, what minimum purchase amount generally triggers the federal three-day cancellation right?",The federal rule generally applies to qualifying sales of $25 or more made at the buyer's home.,strong,correct,"Source: Federal Trade Commission — FTC Consumer Advice, Buyer’s Remorse: The FTC’s Cooling-Off Rule May Help
Publisher verified (Federal Trade Commission)
Document unaltered since publication
Independently checked for relevance"
7,low,"For a qualifying sale made at a buyer’s home in the United States, what minimum purchase amount generally triggers the federal three-day cancellation right?",The federal rule generally applies to qualifying sales of $50 or more made at the buyer's home.,strong,incorrect,"Source: Federal Trade Commission — FTC Consumer Advice, Buyer’s Remorse: The FTC’s Cooling-Off Rule May Help
Publisher verified (Federal Trade Commission)
Document unaltered since publication
Independently checked for relevance"
8,low,"For a check deposited into a checking account at a bank, what portion is generally available by the next business day under federal availability rules?",At least the first $225 is generally available by the next business day after the banking day of deposit.,none,correct,
8,low,"For a check deposited into a checking account at a bank, what portion is generally available by the next business day under federal availability rules?",At least the first $100 is generally available by the next business day after the banking day of deposit.,none,incorrect,
8,low,"For a check deposited into a checking account at a bank, what portion is generally available by the next business day under federal availability rules?",At least the first $225 is generally available by the next business day after the banking day of deposit.,weak,correct,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, How quickly can I get money after I deposit a check into my checking account?"
8,low,"For a check deposited into a checking account at a bank, what portion is generally available by the next business day under federal availability rules?",At least the first $100 is generally available by the next business day after the banking day of deposit.,weak,incorrect,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, How quickly can I get money after I deposit a check into my checking account?"
8,low,"For a check deposited into a checking account at a bank, what portion is generally available by the next business day under federal availability rules?",At least the first $225 is generally available by the next business day after the banking day of deposit.,strong,correct,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, How quickly can I get money after I deposit a check into my checking account?
Publisher verified (Consumer Financial Protection Bureau)
Document unaltered since publication
Independently checked for relevance"
8,low,"For a check deposited into a checking account at a bank, what portion is generally available by the next business day under federal availability rules?",At least the first $100 is generally available by the next business day after the banking day of deposit.,strong,incorrect,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, How quickly can I get money after I deposit a check into my checking account?
Publisher verified (Consumer Financial Protection Bureau)
Document unaltered since publication
Independently checked for relevance"
9,low,"For a standard First-Class Mail letter in the United States, what is the maximum weight before a different mail category or extra handling may apply?",It can weigh up to 3.5 ounces before a different mail category or extra handling may apply.,none,correct,
9,low,"For a standard First-Class Mail letter in the United States, what is the maximum weight before a different mail category or extra handling may apply?",It can weigh up to 4.0 ounces before a different mail category or extra handling may apply.,none,incorrect,
9,low,"For a standard First-Class Mail letter in the United States, what is the maximum weight before a different mail category or extra handling may apply?",It can weigh up to 3.5 ounces before a different mail category or extra handling may apply.,weak,correct,"Source: United States Postal Service — USPS, Send Mail: Step-by-Step Instructions"
