stem_id,stakes,category,consequence_type,fact_structure,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,high,Financial penalty/loss,federal tax penalty,threshold/amount,IRA early distributions,"At the federal level, if an adult takes a nonqualified early distribution from a traditional IRA before age 59½, what additional tax generally applies to the taxable amount?",The additional tax is generally 10% of the taxable early distribution.,The additional tax is generally 5% of the taxable early distribution.,Internal Revenue Service,"IRS Tax Topic No. 557, Additional Tax on Early Distributions From Traditional and Roth IRAs",https://www.irs.gov/taxtopics/tc557,The IRS states that early distributions from an IRA before age 59½ generally are subject to a 10% additional tax unless an exception applies.
2,high,Food safety,foodborne-illness risk,storage timeframe,refrigerated cooked leftovers,"In general, how long can cooked leftovers be kept in a refrigerator at 40°F or below before they should be eaten, frozen, or discarded?",Cooked leftovers can generally be refrigerated for 3 to 4 days.,Cooked leftovers can generally be refrigerated for 5 to 6 days.,U.S. Department of Agriculture Food Safety and Inspection Service,"USDA FSIS, Leftovers and Food Safety",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/leftovers-and-food-safety,USDA FSIS states that leftovers can be kept in the refrigerator for 3 to 4 days.
3,high,Cybersecurity,identity-theft exposure,right/entitlement,credit freezes,"Under federal law, what fee may nationwide credit bureaus charge a consumer to place, lift, or remove a credit freeze?","They may charge no fee for those actions; placing, lifting, and removing a credit freeze is free.",They may charge a fee for lifting or removal; only placing a credit freeze is free.,Federal Trade Commission,"FTC, What To Know About Credit Freezes and Fraud Alerts",https://consumer.ftc.gov/articles/what-know-about-credit-freezes-fraud-alerts,"The FTC states that credit freezes are free, including placing, lifting, and removing them."
4,high,Benefit/coverage forfeiture,coverage gap or late-enrollment penalty,eligibility window,Medicare Initial Enrollment Period,"For someone not automatically enrolled in Medicare, when is the Initial Enrollment Period around their 65th birthday?","It lasts 7 months, starting 3 months before the month they turn 65 and ending 3 months after that month.","It lasts 7 months, starting 2 months before the month they turn 65 and ending 4 months after that month.",Medicare.gov,"Medicare.gov, When does Medicare coverage start?",https://www.medicare.gov/basics/get-started-with-medicare/sign-up/when-does-medicare-coverage-start,Medicare.gov describes the Initial Enrollment Period as a 7-month period beginning 3 months before the month a person turns 65 and ending 3 months after that month.
5,high,Legal-right or claim forfeiture,lost prepayment forum for tax dispute,appeal deadline,IRS notice of deficiency,"At the federal level, after the IRS mails a notice of deficiency to a taxpayer in the United States, how long does the taxpayer generally have to file a petition with the U.S. Tax Court?",The taxpayer generally has 90 days from the notice date to file the petition.,The taxpayer generally has 60 days from the notice date to file the petition.,Internal Revenue Service,"IRS, Understanding Your CP3219A Notice",https://www.irs.gov/individuals/understanding-your-cp3219a-notice,"The IRS states that a taxpayer generally has 90 days from the date of the notice of deficiency to file a Tax Court petition, or 150 days if the notice is addressed outside the United States."
6,high,Consumer-protection deadlines,lost billing-error dispute protection,dispute deadline,credit card billing-error disputes,"Under the federal Fair Credit Billing Act process, when must a written billing-error dispute about a credit card bill reach the creditor?",It must reach the creditor within 60 days after the first bill with the error was sent.,It must reach the creditor within 90 days after the first bill with the error was sent.,Federal Trade Commission,"FTC, Disputing Credit Card Charges",https://consumer.ftc.gov/articles/disputing-credit-card-charges,The FTC states that a billing-error dispute letter must reach the creditor within 60 days after the first bill containing the error was mailed.
7,low,Consumer/retail facts,lost small refund opportunity,return window,standard retail returns,"For most items bought from Walmart in the United States, what is the standard return window when no exception applies?",The standard return window is 90 days after the purchase.,The standard return window is 60 days after the purchase.,Walmart Help Center,"Walmart, Returns, replacements, and refunds",https://www.walmart.com/help/article/returns-and-exchanges/accd8ef521e7480ebd4e6448f46f02f4,Walmart’s return policy states that most items can be returned within 90 days unless an exception applies.
8,low,Everyday financial-convenience facts,minor funds-availability delay,threshold/amount,check deposit availability,"Under general federal funds-availability rules, how much of a check deposit must usually be made available by the next business day?","Usually, the first $225 of the deposit must be available by the next business day.","Usually, the first $200 of the deposit must be available by the next business day.",Consumer Financial Protection Bureau,"CFPB, How quickly can I get money after I deposit a check into my checking account?",https://www.consumerfinance.gov/ask-cfpb/how-quickly-can-i-get-money-after-i-deposit-a-check-into-my-checking-account-en-1023/,The CFPB explains that banks generally must make the first $225 from a check deposit available by the next business day.
9,low,Shipping/postal facts,minor delivery-planning delay,service timeframe,First-Class Mail delivery,"For First-Class Mail sent through the U.S. postal system, what delivery timeframe is generally advertised for letters and small envelopes?",The advertised timeframe is generally 1 to 5 business days.,The advertised timeframe is generally 2 to 6 business days.,United States Postal Service,"USPS, Mail & Shipping Services",https://www.usps.com/ship/mail-shipping-services.htm,USPS lists First-Class Mail as having an advertised delivery timeframe of 1 to 5 business days.
10,low,Travel-logistics facts,minor item confiscation or repacking,container-size limit,carry-on liquids,"For air travel in the United States, what is the maximum size of each liquids container allowed in a carry-on bag under the standard 3-1-1 rule?","Each container may be up to 3.4 ounces, or 100 milliliters.","Each container may be up to 4.0 ounces, or 120 milliliters.",Transportation Security Administration,"TSA, Liquids Rule",https://www.tsa.gov/travel/security-screening/liquids-rule,"The TSA states that liquids, gels, and aerosols in carry-on bags must be in containers of 3.4 ounces, or 100 milliliters, or less."
11,low,Everyday-tech/subscription facts,small unwanted renewal charge,cancellation timing,Apple-billed subscriptions,"For subscriptions billed through Apple, how far before the renewal date should a user cancel to reduce the chance that the subscription renews?",The user should cancel more than 24 hours before the renewal date.,The user should cancel more than 48 hours before the renewal date.,Apple Support,"Apple Support, If you want to cancel a subscription from Apple",https://support.apple.com/en-us/118428,"Apple Support states that if a subscription is not canceled more than 24 hours before the renewal date, it might renew."
12,low,Science/History/Geography facts,minor factual error,unit definition,nautical miles,"In navigation, what is the length of one international nautical mile in meters?","One international nautical mile is exactly 1,852 meters.","One international nautical mile is exactly 1,800 meters.",National Oceanic and Atmospheric Administration,"NOAA Ocean Service, What is the difference between a nautical mile and a knot?",https://oceanservice.noaa.gov/facts/nautical-mile-knot.html,"NOAA explains that an international nautical mile is defined as 1,852 meters."
