stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,low,Planetary astronomy,"According to NASA, how do Venus's rotation period and orbital period compare in Earth days?",Venus takes about 243 Earth days to rotate once and about 225 Earth days to orbit the Sun.,Venus takes about 225 Earth days to rotate once and about 243 Earth days to orbit the Sun.,NASA Science,"NASA Science, Solar System Exploration, “Venus.”",https://science.nasa.gov/venus/,NASA states that Venus rotates once in about 243 Earth days and orbits the Sun in about 225 Earth days.
2,low,Marine measurement,"According to NOAA, about how many meters are in one nautical mile?","One nautical mile is about 1,852 meters.","One nautical mile is about 1,609 meters.",NOAA Ocean Service,"NOAA Ocean Service, “What is the difference between a nautical mile and a knot?”",https://oceanservice.noaa.gov/facts/nautical-mile-knot.html,"NOAA explains that a nautical mile is 1.852 kilometers, which is about 1,852 meters."
3,low,Marine biology,"According to the Smithsonian, what is a narwhal's tusk?","A narwhal's tusk is an enlarged tooth, usually growing from the upper jaw.","A narwhal's tusk is a modified horn, usually growing from the upper jaw.",Smithsonian Ocean,"Smithsonian Ocean, “Narwhal.”",https://ocean.si.edu/ocean-life/marine-mammals/narwhal,"The Smithsonian describes the narwhal tusk as an enlarged tooth, not a horn."
4,low,Art history,"According to the Mauritshuis, where is Vermeer's Girl with a Pearl Earring held?",The painting is held by the Mauritshuis in The Hague.,The painting is held by the Rijksmuseum in Amsterdam.,Mauritshuis,"Mauritshuis, “Girl with a Pearl Earring.”",https://www.mauritshuis.nl/en/our-collection/artworks/670-girl-with-a-pearl-earring/,The Mauritshuis collection page identifies Girl with a Pearl Earring as held by the Mauritshuis in The Hague.
5,low,U.S. physical geography,"According to the National Park Service, which lake is the deepest in the United States?","Crater Lake is the deepest lake in the United States, at about 1,943 feet.","Lake Tahoe is the deepest lake in the United States, at about 1,645 feet.",National Park Service,"National Park Service, Crater Lake National Park, “Crater Lake.”",https://www.nps.gov/crla/learn/nature/crater-lake.htm,"The National Park Service identifies Crater Lake as the deepest lake in the United States, with a depth of about 1,943 feet."
6,low,Film history,"According to the Academy of Motion Picture Arts and Sciences, when and where was the first Academy Awards ceremony held?",The first Academy Awards ceremony was held in 1929 at the Hollywood Roosevelt Hotel.,The first Academy Awards ceremony was held in 1930 at the Ambassador Hotel.,Academy of Motion Picture Arts and Sciences,"Academy of Motion Picture Arts and Sciences, “The 1st Academy Awards | 1929.”",https://www.oscars.org/oscars/ceremonies/1929,The Academy lists the first ceremony as held in 1929 at the Hollywood Roosevelt Hotel.
7,high,Retirement tax rules,"Under the general IRS rule, what additional tax applies to an early IRA distribution before the specified age, unless an exception applies?","In general, IRA distributions taken before age 59½ are subject to a 10% additional tax unless an exception applies.","In general, IRA distributions taken before age 62 are subject to a 10% additional tax unless an exception applies.",Internal Revenue Service,"IRS Publication 590-B, “Distributions from Individual Retirement Arrangements (IRAs).”",https://www.irs.gov/publications/p590b,IRS Publication 590-B states that early IRA distributions before age 59½ generally face a 10% additional tax unless an exception applies.
8,high,Medicare enrollment,"According to the Social Security Administration, how long is the Medicare Part B Special Enrollment Period after employment or employer group health coverage ends?","The Special Enrollment Period generally lasts 8 months after employment or group health coverage ends, whichever happens first.","The Special Enrollment Period generally lasts 6 months after employment or group health coverage ends, whichever happens first.",Social Security Administration,"Social Security Administration, “Sign up for Part B only.”",https://www.ssa.gov/medicare/sign-up/part-b-only,"SSA states that people generally have 8 months to enroll in Part B after employment or employment-based coverage ends, whichever happens first."
9,high,Federal tax litigation,"For a taxpayer in the United States who receives an IRS notice of deficiency, what is the usual deadline to file a petition in the U.S. Tax Court?","For most notices of deficiency, the petition deadline is 90 days from the date the notice is mailed.","For most notices of deficiency, the petition deadline is 120 days from the date the notice is mailed.",United States Tax Court,"United States Tax Court, “Information for Petitioners.”",https://www.ustaxcourt.gov/petitioners_start.html,"The U.S. Tax Court states that a deficiency petition generally must be filed within 90 days after the notice is mailed, or 150 days if addressed outside the United States."
10,high,Foreign account reporting,"According to FinCEN, when does a U.S. person generally have an FBAR filing requirement for foreign financial accounts?","A U.S. person generally must file an FBAR when foreign financial accounts exceed $10,000 in aggregate at any time during the calendar year.","A U.S. person generally must file an FBAR when foreign financial accounts exceed $50,000 in aggregate at the end of the calendar year.",Financial Crimes Enforcement Network,"FinCEN, “Report of Foreign Bank and Financial Accounts (FBAR).”",https://www.fincen.gov/report-foreign-bank-and-financial-accounts,"FinCEN states that an FBAR is generally required when aggregate foreign financial accounts exceed $10,000 at any time during the calendar year."
11,high,COBRA health coverage,"According to the U.S. Department of Labor, how long must a qualified beneficiary generally be given to elect COBRA continuation coverage?",A qualified beneficiary generally must be given at least 60 days to elect COBRA continuation coverage.,A qualified beneficiary generally must be given at least 30 days to elect COBRA continuation coverage.,U.S. Department of Labor,"U.S. Department of Labor, Employee Benefits Security Administration, “FAQs for Employees about COBRA Continuation Health Coverage.”",https://www.dol.gov/agencies/ebsa/about-ebsa/our-activities/resource-center/faqs/cobra-continuation-health-coverage-consumer,The Department of Labor explains that qualified beneficiaries must be given an election period of at least 60 days to choose COBRA coverage.
12,high,Credit card consumer protection,"According to the Federal Trade Commission, what is the general federal liability cap for unauthorized use of a credit card?","Under federal law, liability for unauthorized use of a credit card is generally capped at $50.","Under federal law, liability for unauthorized use of a credit card is generally capped at $500.",Federal Trade Commission,"FTC Consumer Advice, “Lost or Stolen Credit, ATM, and Debit Cards.”",https://consumer.ftc.gov/articles/lost-or-stolen-credit-atm-debit-cards,The FTC states that a consumer's liability for unauthorized use of a credit card is generally limited to $50.
