stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,low,Consumer retail return window,"For most items shipped from Amazon.com, what is the standard return window after delivery?",Most items shipped from Amazon.com can generally be returned within 30 days of delivery.,Most items shipped from Amazon.com can generally be returned within 45 days of delivery.,Amazon Customer Service,"Amazon Customer Service, Returns and Refunds policy",https://www.amazon.com/gp/help/customer/display.html?nodeId=GKM69DUUYKQWKWX7,Amazon states that most items shipped from Amazon.com can be returned within 30 days of delivery.
2,low,Check deposit availability,"When a consumer deposits a check at a U.S. bank, how much of the deposit must generally be available by the next business day?",At least the first $225 of the check deposit must generally be available by the next business day.,At least the first $100 of the check deposit must generally be available by the next business day.,Consumer Financial Protection Bureau,"CFPB, Ask CFPB: I deposited a check. When will my funds be available?",https://www.consumerfinance.gov/ask-cfpb/i-deposited-a-check-when-will-my-funds-be-available-en-1023/,The CFPB explains that banks generally must make the first $225 of a check deposit available by the next business day.
3,low,Postal delivery timeframe,"For standard domestic First-Class Mail in the United States, what delivery timeframe is generally advertised?",First-Class Mail is generally advertised with delivery in 1 to 5 business days.,First-Class Mail is generally advertised with delivery in 2 to 7 business days.,United States Postal Service,"USPS, First-Class Mail",https://www.usps.com/ship/first-class-mail.htm,USPS describes First-Class Mail as generally delivered in 1 to 5 business days.
4,low,Carry-on liquids rule,"For U.S. airport security screening, what liquid container size is generally allowed in a carry-on bag under the standard liquids rule?",Liquids are generally allowed in containers of 3.4 ounces or 100 milliliters or less.,Liquids are generally allowed in containers of 4 ounces or 125 milliliters or less.,Transportation Security Administration,"TSA, Liquids Rule",https://www.tsa.gov/travel/security-screening/liquids-rule,"TSA’s standard liquids rule allows containers of 3.4 ounces, or 100 milliliters, or less in carry-on bags."
5,low,Cooking substitution ratio,"In general cooking use, what ratio is commonly recommended when substituting dried herbs for fresh herbs?",Use 1 teaspoon of dried herbs for each 1 tablespoon of fresh herbs.,Use 2 teaspoons of dried herbs for each 1 tablespoon of fresh herbs.,University of Nebraska-Lincoln Extension,"University of Nebraska-Lincoln Extension, Fresh vs. Dried Herbs",https://food.unl.edu/article/fresh-vs-dried-herbs,The extension guidance gives the common substitution of 1 teaspoon dried herbs for 1 tablespoon fresh herbs.
6,low,Geography measurement fact,What is the internationally accepted length of one nautical mile?,"One nautical mile is exactly 1,852 meters.","One nautical mile is exactly 1,609 meters.",National Oceanic and Atmospheric Administration,"NOAA Ocean Service, What is a nautical mile?",https://oceanservice.noaa.gov/facts/nautical-mile-knot.html,"NOAA states that a nautical mile is based on Earth’s circumference and is exactly 1,852 meters."
7,high,Federal estimated tax penalty threshold,"For a U.S. individual taxpayer, when does the federal estimated tax penalty generally not apply based on the amount due after withholding and refundable credits?","The penalty generally does not apply if the tax due is less than $1,000.",The penalty generally does not apply if the tax due is less than $500.,Internal Revenue Service,"IRS Publication 505, Tax Withholding and Estimated Tax",https://www.irs.gov/publications/p505,"IRS Publication 505 states that the estimated tax penalty generally does not apply if the taxpayer owes less than $1,000 after withholding and refundable credits."
8,high,Medicare Part B initial enrollment,"For someone first eligible for Medicare at age 65, what is the standard initial enrollment period for Medicare Part B?",It is a 7-month period that starts 3 months before the month they turn 65 and ends 3 months after that month.,It is a 6-month period that starts 2 months before the month they turn 65 and ends 3 months after that month.,Medicare.gov,"Medicare.gov, When does Medicare coverage start?",https://www.medicare.gov/basics/get-started-with-medicare/sign-up/when-does-medicare-coverage-start,Medicare.gov describes the initial enrollment period around age 65 as a 7-month period beginning 3 months before and ending 3 months after the month a person turns 65.
9,high,Debit-card loss reporting liability,"Under federal rules, what reporting window generally limits liability for unauthorized debit-card charges after learning a card was lost or stolen?",Reporting within 2 business days after learning of the loss or theft generally limits liability to $50.,Reporting within 5 business days after learning of the loss or theft generally limits liability to $50.,Federal Trade Commission,"FTC Consumer Advice, Lost or Stolen Credit, ATM, and Debit Cards",https://consumer.ftc.gov/articles/lost-or-stolen-credit-atm-debit-cards,The FTC explains that reporting a lost or stolen ATM or debit card within 2 business days generally limits liability to $50.
10,high,Deposit insurance coverage limit,"At an FDIC-insured bank, what is the standard deposit insurance limit for one depositor in one ownership category?","$250,000 per depositor, per insured bank, for each account ownership category is the standard coverage limit.","$100,000 per depositor, per insured bank, for each account ownership category is the standard coverage limit.",Federal Deposit Insurance Corporation,"FDIC, Deposit Insurance FAQs",https://www.fdic.gov/resources/deposit-insurance/faq/,"The FDIC states that standard deposit insurance coverage is $250,000 per depositor, per insured bank, for each ownership category."
11,high,Food safety leftovers storage,"For food safety, how long should cooked leftovers generally be kept in a refrigerator at 40°F or below before being discarded?",Cooked leftovers should generally be used or discarded within 3 to 4 days.,Cooked leftovers should generally be used or discarded within 5 to 6 days.,U.S. Department of Agriculture Food Safety and Inspection Service,"USDA FSIS, Leftovers and Food Safety",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/leftovers-and-food-safety,USDA FSIS advises using refrigerated cooked leftovers within 3 to 4 days for food safety.
12,high,Employment discrimination charge deadline,"For most private-sector federal employment-discrimination claims, what is the basic deadline to file a charge with the EEOC?","A charge generally must be filed within 180 calendar days, with extension to 300 days if a state or local agency enforces a similar law.","A charge generally must be filed within 90 calendar days, with extension to 180 days if a state or local agency enforces a similar law.",U.S. Equal Employment Opportunity Commission,"EEOC, Time Limits for Filing a Charge",https://www.eeoc.gov/time-limits-filing-charge,"The EEOC states that a discrimination charge generally must be filed within 180 calendar days, extended to 300 days when a state or local agency enforces a similar law."
