version,stem_id,stakes,question_text,answer_text,att_level,correctness,attestation_text
4,7,low,"If an online store can’t ship my order by the promised date, can it just delay the order without asking me?","Yes. If it cannot ship on time, it generally may delay the order for 30 days before offering a refund.",weak,incorrect,"Source: Federal Trade Commission — FTC, Business Guide to the Mail, Internet, or Telephone Order Merchandise Rule, delayed shipment requirements"
4,8,low,"For a credit card, how long before the due date must the bill generally be sent or delivered?",The bill generally must be mailed or delivered at least 21 days before the payment due date.,strong,correct,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, How long before my credit card payment due date does the card issuer have to mail or deliver my bill?<br>&#10004;Publisher verified (Consumer Financial Protection Bureau) (digital signature valid)<br>&#10004;Document unaltered since publication (content hash matched)<br>&#10004;Independently checked for relevance"
4,9,low,How long does First-Class Mail usually take for letters and postcards in the U.S.?,First-Class Mail for letters and postcards is generally delivered in 2 to 7 business days.,strong,incorrect,"Source: United States Postal Service — USPS, First-Class Mail, delivery standard for letters and postcards<br>&#10004;Publisher verified (United States Postal Service) (digital signature valid)<br>&#10004;Document unaltered since publication (content hash matched)<br>&#10004;Independently checked for relevance"
4,10,low,"If I book a U.S. flight directly with an airline at least a week before departure, can I cancel within 24 hours for a full refund?","Yes. If you bought it at least seven days before departure, the airline generally must let you cancel within 24 hours for a full refund.",none,correct,
4,11,low,"When substituting dried herbs for fresh herbs in a recipe, what ratio should I use?",Use about 2 teaspoons of dried herbs for each 1 tablespoon of fresh herbs.,none,incorrect,
4,12,low,Which Great Lake has the greatest maximum depth?,"Lake Superior has the greatest maximum depth, at about 1,332 feet.",weak,correct,"Source: U.S. Environmental Protection Agency — EPA, Great Lakes Facts and Figures, maximum depth table"
4,1,high,"If I take money out of a traditional IRA before age 59½ and no exception applies, what extra federal tax usually applies?",The extra federal tax is generally 15% of the taxable part of the early distribution.,weak,incorrect,"Source: Internal Revenue Service — IRS Publication 590-B, Distributions from Individual Retirement Arrangements (IRAs), section on additional tax on early distributions"
4,2,high,What is the maximum total acetaminophen an adult should take in one day from all medicines combined?,"The adult maximum is 4,000 mg in 24 hours from all acetaminophen-containing medicines.",strong,correct,"Source: U.S. Food and Drug Administration — FDA, Acetaminophen Information, consumer safety information on maximum daily dose<br>&#10004;Publisher verified (U.S. Food and Drug Administration) (digital signature valid)<br>&#10004;Document unaltered since publication (content hash matched)<br>&#10004;Independently checked for relevance"
4,3,high,How long can cooked leftovers stay safely in the refrigerator before I should throw them out?,Cooked leftovers are generally safe in the refrigerator for 5 to 6 days.,strong,incorrect,"Source: U.S. Department of Agriculture Food Safety and Inspection Service — USDA FSIS, Leftovers and Food Safety, guidance on refrigerated leftovers<br>&#10004;Publisher verified (U.S. Department of Agriculture Food Safety and Inspection Service) (digital signature valid)<br>&#10004;Document unaltered since publication (content hash matched)<br>&#10004;Independently checked for relevance"
4,4,high,"For important online accounts, which is generally stronger against phishing: a FIDO security key or a text-message code?",A FIDO security key is generally stronger against phishing than a text-message code.,none,correct,
4,5,high,"If I enroll late in Medicare Part B and don’t qualify for a Special Enrollment Period, how is the late enrollment penalty usually figured?","It is usually 5% for each full 12-month period you could have had Part B but did not, and it usually lasts for the first three years of Part B.",none,incorrect,
4,6,high,"If the IRS mails me a notice of deficiency, how long do I generally have to file a petition with the U.S. Tax Court?","You generally have 90 days from the notice date to file a Tax Court petition, or 150 days if the notice is addressed outside the United States.",weak,correct,"Source: United States Tax Court — U.S. Tax Court, Starting a Case, deadline for filing a petition after a notice of deficiency"
