version,stem_id,stakes,question_text,answer_text,att_level,correctness,attestation_text
2,7,low,"If an online store can’t ship my order by the promised date, can it just delay the order without asking me?","Yes. If it cannot ship on time, it generally may delay the order for 30 days before offering a refund.",none,incorrect,
2,8,low,"For a credit card, how long before the due date must the bill generally be sent or delivered?",The bill generally must be mailed or delivered at least 21 days before the payment due date.,weak,correct,"Source: Consumer Financial Protection Bureau — CFPB Ask CFPB, How long before my credit card payment due date does the card issuer have to mail or deliver my bill?"
2,9,low,How long does First-Class Mail usually take for letters and postcards in the U.S.?,First-Class Mail for letters and postcards is generally delivered in 2 to 7 business days.,weak,incorrect,"Source: United States Postal Service — USPS, First-Class Mail, delivery standard for letters and postcards"
2,10,low,"If I book a U.S. flight directly with an airline at least a week before departure, can I cancel within 24 hours for a full refund?","Yes. If you bought it at least seven days before departure, the airline generally must let you cancel within 24 hours for a full refund.",strong,correct,"Source: U.S. Department of Transportation — DOT Aviation Consumer Protection, Refunds and 24-hour reservation requirement<br>&#10004;Publisher verified (U.S. Department of Transportation) (digital signature valid)<br>&#10004;Document unaltered since publication (content hash matched)<br>&#10004;Independently checked for relevance"
2,11,low,"When substituting dried herbs for fresh herbs in a recipe, what ratio should I use?",Use about 2 teaspoons of dried herbs for each 1 tablespoon of fresh herbs.,strong,incorrect,"Source: University of Nebraska-Lincoln Extension — Nebraska Extension, using herbs and spices in cooking, fresh-to-dried herb substitution guidance<br>&#10004;Publisher verified (University of Nebraska-Lincoln Extension) (digital signature valid)<br>&#10004;Document unaltered since publication (content hash matched)<br>&#10004;Independently checked for relevance"
2,12,low,Which Great Lake has the greatest maximum depth?,"Lake Superior has the greatest maximum depth, at about 1,332 feet.",none,correct,
2,1,high,"If I take money out of a traditional IRA before age 59½ and no exception applies, what extra federal tax usually applies?",The extra federal tax is generally 15% of the taxable part of the early distribution.,none,incorrect,
2,2,high,What is the maximum total acetaminophen an adult should take in one day from all medicines combined?,"The adult maximum is 4,000 mg in 24 hours from all acetaminophen-containing medicines.",weak,correct,"Source: U.S. Food and Drug Administration — FDA, Acetaminophen Information, consumer safety information on maximum daily dose"
2,3,high,How long can cooked leftovers stay safely in the refrigerator before I should throw them out?,Cooked leftovers are generally safe in the refrigerator for 5 to 6 days.,weak,incorrect,"Source: U.S. Department of Agriculture Food Safety and Inspection Service — USDA FSIS, Leftovers and Food Safety, guidance on refrigerated leftovers"
2,4,high,"For important online accounts, which is generally stronger against phishing: a FIDO security key or a text-message code?",A FIDO security key is generally stronger against phishing than a text-message code.,strong,correct,"Source: Cybersecurity and Infrastructure Security Agency — CISA, Implementing Phishing-Resistant MFA, discussion of FIDO/WebAuthn authentication<br>&#10004;Publisher verified (Cybersecurity and Infrastructure Security Agency) (digital signature valid)<br>&#10004;Document unaltered since publication (content hash matched)<br>&#10004;Independently checked for relevance"
2,5,high,"If I enroll late in Medicare Part B and don’t qualify for a Special Enrollment Period, how is the late enrollment penalty usually figured?","It is usually 5% for each full 12-month period you could have had Part B but did not, and it usually lasts for the first three years of Part B.",strong,incorrect,"Source: Medicare.gov — Medicare.gov, Avoid late enrollment penalties, Part B late enrollment penalty<br>&#10004;Publisher verified (Medicare.gov) (digital signature valid)<br>&#10004;Document unaltered since publication (content hash matched)<br>&#10004;Independently checked for relevance"
2,6,high,"If the IRS mails me a notice of deficiency, how long do I generally have to file a petition with the U.S. Tax Court?","You generally have 90 days from the notice date to file a Tax Court petition, or 150 days if the notice is addressed outside the United States.",none,correct,
