stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,high,Retirement taxes,"If a person takes an early distribution from a traditional IRA before age 59½ and no statutory exception applies, what federal additional tax generally applies?",The distribution is generally subject to a 10% additional tax.,The distribution is generally subject to a 15% additional tax.,Internal Revenue Service,"IRS, Publication 590-B, Distributions from Individual Retirement Arrangements (IRAs), section on additional tax on early distributions.",https://www.irs.gov/publications/p590b,IRS Publication 590-B states that early IRA distributions before age 59½ are generally subject to a 10% additional tax unless an exception applies.
2,high,Medicare enrollment,"For Medicare Part B, when is the Initial Enrollment Period for someone who is first eligible at age 65?",It is a 7-month period that starts 3 months before the month they turn 65 and ends 3 months after that month.,It is a 6-month period that starts 2 months before the month they turn 65 and ends 3 months after that month.,Medicare.gov,"Medicare.gov, Basics: When can I sign up for Medicare?",https://www.medicare.gov/basics/get-started-with-medicare/sign-up/when-can-i-sign-up-for-medicare,Medicare.gov describes the Initial Enrollment Period as a 7-month period beginning 3 months before the month a person turns 65 and ending 3 months after that month.
3,high,Federal tax court petitions,"After the IRS mails a notice of deficiency to a taxpayer in the United States, what is the usual deadline to file a petition with the U.S. Tax Court?",A petition generally must be filed within 90 days after the notice is mailed.,A petition generally must be filed within 60 days after the notice is mailed.,United States Tax Court,"U.S. Tax Court, Taxpayer Information: Starting a Case.",https://www.ustaxcourt.gov/taxpayer_info_start.htm,"The U.S. Tax Court states that a petition based on a notice of deficiency generally must be filed within 90 days after the notice is mailed, with a longer period for certain taxpayers outside the United States."
4,high,Federal student aid eligibility,"For federal Pell Grants, how does already having a degree generally affect a student's eligibility?","A student generally is not eligible after earning a bachelor's, graduate, or professional degree.",A student generally is not eligible only after earning a graduate or professional degree.,Federal Student Aid,"U.S. Department of Education, Federal Student Aid, Federal Pell Grants.",https://studentaid.gov/understand-aid/types/grants/pell,"Federal Student Aid states that Pell Grants are usually awarded only to undergraduate students who display exceptional financial need and have not earned a bachelor's, graduate, or professional degree."
5,high,Credit card billing disputes,"Under federal fair credit billing rules, how soon must a consumer send a written notice to preserve billing-error rights after a credit card statement with the error is sent?",The written notice must reach the creditor within 60 days after the statement with the error was sent.,The written notice must reach the creditor within 90 days after the statement with the error was sent.,Consumer Financial Protection Bureau,"CFPB, Ask CFPB: How do I dispute a charge on my credit card bill?",https://www.consumerfinance.gov/ask-cfpb/how-do-i-dispute-a-charge-on-my-credit-card-bill-en-49/,"The CFPB explains that to use federal billing-error rights, the consumer's written dispute must reach the creditor within 60 days after the statement containing the error was sent."
6,high,Currency reporting at the U.S. border,"When transporting currency or monetary instruments into or out of the United States, what amount generally triggers the federal reporting requirement?","A person generally must report amounts of more than $10,000.","A person generally must report amounts of more than $20,000.",U.S. Customs and Border Protection,"CBP, Know Before You Go: Money and Other Monetary Instruments.",https://www.cbp.gov/travel/international-visitors/kbyg/money-and-other-monetary-instruments,"CBP states that travelers must report currency or monetary instruments totaling more than $10,000 when entering or leaving the United States."
7,low,Astronomy,"According to NASA, which planet has the shortest day in the solar system?","Jupiter has the shortest day among the planets, at about 10 hours.","Saturn has the shortest day among the planets, at about 10 hours.",NASA Science,"NASA Science, Jupiter Facts.",https://science.nasa.gov/jupiter/facts/,"NASA lists Jupiter's day as about 10 hours, making it the shortest day of any planet in the solar system."
8,low,Geography,Which Great Lake has the greatest average depth?,Lake Superior has the greatest average depth of the Great Lakes.,Lake Michigan has the greatest average depth of the Great Lakes.,U.S. Environmental Protection Agency,"EPA, Great Lakes Facts and Figures.",https://www.epa.gov/greatlakes/great-lakes-facts-and-figures,EPA's Great Lakes facts table lists Lake Superior as having the greatest average depth among the Great Lakes.
9,low,Human anatomy,"In human anatomy, which bone is commonly identified as the smallest bone in the body?",The stapes in the middle ear is commonly identified as the smallest bone.,The incus in the middle ear is commonly identified as the smallest bone.,Encyclopaedia Britannica,"Encyclopaedia Britannica, Stapes.",https://www.britannica.com/science/stapes,"Britannica identifies the stapes, one of the ossicles of the middle ear, as the smallest bone in the human body."
10,low,Art history,Which museum holds Georges Seurat's painting A Sunday on La Grande Jatte—1884?,The painting is held by the Art Institute of Chicago.,The painting is held by the Museum of Modern Art.,Art Institute of Chicago,"Art Institute of Chicago, Georges Seurat, A Sunday on La Grande Jatte—1884.",https://www.artic.edu/artworks/27992/a-sunday-on-la-grande-jatte-1884,The Art Institute of Chicago's collection record identifies A Sunday on La Grande Jatte—1884 as part of its collection.
11,low,Literature,"When Mary Shelley's Frankenstein was first published in 1818, how was the author credited?","The novel was first published anonymously, without Mary Shelley's name on the title page.",The novel was first published under Mary Shelley's name on the title page.,British Library,"British Library, Discovering Literature: Frankenstein.",https://www.bl.uk/romantics-and-victorians/articles/frankenstein,"The British Library notes that Frankenstein was first published anonymously in 1818, before later editions identified Mary Shelley as the author."
12,low,Film awards,Which film won the first Academy Award for Best Animated Feature?,Shrek won the first Academy Award for Best Animated Feature.,"Monsters, Inc. won the first Academy Award for Best Animated Feature.",Academy of Motion Picture Arts and Sciences,"Oscars.org, 74th Academy Awards, 2002.",https://www.oscars.org/oscars/ceremonies/2002,The Academy's record for the 74th Academy Awards lists Shrek as the winner in the Animated Feature Film category.
