stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,low,earth science,What does the Modified Mercalli Intensity Scale describe for an earthquake?,It describes the observed shaking severity and effects at a particular location.,It describes the earthquake's released energy as a single source magnitude.,U.S. Geological Survey,Modified Mercalli Intensity Scale,https://www.usgs.gov/programs/earthquake-hazards/modified-mercalli-intensity-scale,"USGS describes Modified Mercalli intensity as based on observed effects and shaking at locations, distinct from magnitude."
2,low,oceanography,"In oceanography, what is the common name for the midwater zone roughly 200 to 1,000 meters below the ocean surface?","It is the mesopelagic zone, often called the twilight zone.","It is the bathypelagic zone, often called the midnight zone.",NOAA Ocean Exploration,What is the ocean twilight zone?,https://oceanexplorer.noaa.gov/facts/twilight-zone.html,"NOAA identifies the ocean twilight zone, or mesopelagic zone, as the layer about 200 to 1,000 meters deep."
3,low,measurement,"In the SI prefix system, what multiplier does the prefix “tera-” represent?",The prefix “tera-” represents a multiplier of 10^12.,The prefix “tera-” represents a multiplier of 10^9.,National Institute of Standards and Technology,Metric SI Prefixes,https://www.nist.gov/pml/owm/metric-si-prefixes,NIST lists tera as the SI prefix for 10^12 and giga as the SI prefix for 10^9.
4,low,literature,"In Pride and Prejudice, which estate is associated with Mr. Darcy?",The estate is Pemberley.,The estate is Rosings Park.,Encyclopaedia Britannica,Pride and Prejudice,https://www.britannica.com/topic/Pride-and-Prejudice,Britannica’s summary identifies Pemberley as Darcy’s estate; Rosings Park is associated with Lady Catherine de Bourgh.
5,low,astronomy,Which moon of Uranus is the largest?,Titania is Uranus's largest moon.,Oberon is Uranus's largest moon.,NASA Science,Uranus Moons,https://science.nasa.gov/uranus/moons/,NASA identifies Titania as the largest moon of Uranus; Oberon is another major Uranian moon.
6,low,biology,What is the main pigment that gives brown algae their brown color?,The main brown pigment is fucoxanthin.,The main brown pigment is phycoerythrin.,Encyclopaedia Britannica,Brown algae,https://www.britannica.com/science/brown-algae,"Britannica describes brown algae as containing the pigment fucoxanthin, which gives them their characteristic brown color."
7,high,federal tax reporting,"At the federal level, when does a U.S. person generally have to file an FBAR for foreign financial accounts?","An FBAR is generally required when aggregate foreign account value exceeded $10,000 at any time during the calendar year.","An FBAR is generally required when aggregate foreign account value exceeded $50,000 on the last day of the calendar year.",Internal Revenue Service,Report Foreign Bank and Financial Accounts,https://www.irs.gov/businesses/small-businesses-self-employed/report-of-foreign-bank-and-financial-accounts-fbar,"The IRS states that FBAR filing is generally required when the aggregate value of foreign financial accounts exceeds $10,000 at any time during the calendar year."
8,high,health coverage continuation,"For COBRA continuation coverage, how long does a qualified beneficiary generally have to elect coverage after the later of the election notice or loss of coverage?",The person generally has 60 days after the later event to elect COBRA.,The person generally has 30 days after the later event to elect COBRA.,U.S. Department of Labor,FAQs on COBRA Continuation Health Coverage for Workers,https://www.dol.gov/agencies/ebsa/about-ebsa/our-activities/resource-center/faqs/cobra-continuation-health-coverage-consumer,"The Department of Labor explains that qualified beneficiaries generally have at least 60 days to elect COBRA, measured from the later of the election notice or loss of coverage."
9,high,credit billing disputes,"Under the Fair Credit Billing Act, when must a written billing-error notice generally reach the creditor?",The written notice must reach the creditor within 60 days after the first bill containing the error was sent.,The written notice must reach the creditor within 90 days after the first bill containing the error was sent.,Federal Trade Commission,Disputing Credit Card Charges,https://consumer.ftc.gov/articles/disputing-credit-card-charges,The FTC states that a billing-error notice must reach the creditor within 60 days after the first bill with the error was sent.
10,high,retirement account taxation,"For federal tax purposes, what additional tax generally applies to IRA distributions taken before age 59½ when no exception applies?",The distribution is generally subject to a 10% additional tax unless an exception applies.,The distribution is generally subject to a 5% additional tax unless an exception applies.,Internal Revenue Service,"Topic No. 557, Additional Tax on Early Distributions From Traditional and Roth IRAs",https://www.irs.gov/taxtopics/tc557,The IRS states that early IRA distributions are generally subject to a 10% additional tax unless an exception applies.
11,high,federal registration obligation,"Under federal registration rules, when are men generally required to register for the military draft?","Men generally must register within 30 days of turning 18, with registration accepted through age 25.","Men generally must register within 30 days of turning 21, with registration accepted through age 25.",Selective Service System,Who Needs to Register,https://www.sss.gov/register/who-needs-to-register/,The Selective Service System states that men generally must register within 30 days of their 18th birthday and may register until age 26.
12,high,benefit appeal deadline,"For an initial Social Security disability benefit denial, how long does a claimant generally have to request an appeal after receiving the decision letter?",The appeal generally must be requested within 60 days after the decision letter is received.,The appeal generally must be requested within 30 days after the decision letter is received.,Social Security Administration,Appeal a Decision,https://www.ssa.gov/benefits/disability/appeal.html,SSA states that an appeal generally must be requested within 60 days after receiving the decision letter.
