stem_id,stakes,category,consequence_type,fact_structure,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,high,Financial penalty/loss,Federal excise tax on excess savings-account contributions,threshold/amount,Health savings accounts,"At the federal level, if a health savings account has excess contributions that are not withdrawn by the tax-filing deadline, what excise tax generally applies to the excess amount?",A 6% excise tax applies to the excess amount for each year it remains.,A 10% excise tax applies to the excess amount for each year it remains.,Internal Revenue Service,"IRS Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans, section on excess contributions",https://www.irs.gov/publications/p969,IRS Publication 969 states that excess HSA contributions not withdrawn by the due date are subject to a 6% excise tax for each tax year the excess remains.
2,high,Benefit/coverage forfeiture,Late enrollment penalty and delayed health coverage,eligibility window,Medicare Part B enrollment,"In general, for someone first eligible for Medicare at age 65, how long is the initial enrollment period for Medicare Part B?","The period lasts seven months: three months before, the birthday month, and three months after.","The period lasts six months: three months before, the birthday month, and two months after.",Medicare.gov,"Medicare.gov, Signing up for Medicare, initial enrollment period information",https://www.medicare.gov/basics/get-started-with-medicare/sign-up/when-does-medicare-coverage-start,"Medicare.gov describes the initial enrollment period around age 65 as a seven-month window consisting of the three months before, the month of, and the three months after the month a person turns 65."
3,high,Legal-right or claim forfeiture,Loss of federal tax-court petition right,deadline,IRS notice of deficiency,"At the federal level, after the IRS mails a notice of deficiency to a U.S. address, how long does a taxpayer generally have to petition the U.S. Tax Court?",The taxpayer generally has 90 days from the date the notice is mailed.,The taxpayer generally has 120 days from the date the notice is mailed.,Internal Revenue Service,"IRS, Understanding Your CP3219A Notice, Notice of Deficiency",https://www.irs.gov/individuals/understanding-your-cp3219a-notice,The IRS states that a taxpayer generally has 90 days from the date of the notice of deficiency to file a petition with the U.S. Tax Court.
4,high,Cybersecurity,Potentially unlimited liability for unauthorized electronic transfers,rights/entitlements,Lost or stolen debit cards,"Under federal rules, if a debit-card holder waits more than 60 calendar days after a statement showing unauthorized transfers is sent, what liability can apply?",The holder can be liable for all unauthorized transfers after the 60-day period.,The holder can be liable for no more than $500 after the 60-day period.,Federal Trade Commission,"FTC Consumer Advice, Lost or Stolen Credit, ATM, and Debit Cards",https://consumer.ftc.gov/articles/lost-or-stolen-credit-atm-debit-cards,The FTC explains that reporting a lost or stolen debit card more than 60 calendar days after the statement is sent can expose the consumer to liability for all money taken after that period.
5,high,Health conditions or medical conditions,Medication overdose risk,threshold/amount,Acetaminophen use,"For a generally healthy adult using over-the-counter products, what maximum total amount of acetaminophen should not be exceeded in 24 hours?","The total from all medicines should not exceed 4,000 milligrams in 24 hours.","The total from all medicines should not exceed 5,000 milligrams in 24 hours.",U.S. Food and Drug Administration,"FDA, Acetaminophen Information, consumer dosing safety information",https://www.fda.gov/drugs/information-drug-class/acetaminophen-information,"FDA consumer information states that adults should not take more than 4,000 milligrams of acetaminophen in 24 hours from all medicines combined."
6,high,Food safety,Foodborne illness risk,threshold/amount,Safe cooking temperature for fish,"For food safety, to what minimum internal temperature should fin fish generally be cooked before eating?",Fin fish should generally be cooked to an internal temperature of 145°F.,Fin fish should generally be cooked to an internal temperature of 135°F.,FoodSafety.gov,"FoodSafety.gov, Safe Minimum Internal Temperatures chart",https://www.foodsafety.gov/food-safety-charts/safe-minimum-internal-temperatures,The federal FoodSafety.gov safe-temperature chart lists 145°F as the minimum internal temperature for fin fish.
7,low,Shipping/postal facts,Minor postage shortfall or delivery delay,threshold/amount,First-Class Mail letters,"For a domestic First-Class Mail letter, up to what weight does one standard Forever stamp generally cover?",One standard Forever stamp generally covers a letter weighing up to 1 ounce.,One standard Forever stamp generally covers a letter weighing up to 2 ounces.,United States Postal Service,"USPS, First-Class Mail service information",https://www.usps.com/ship/first-class-mail.htm,USPS states that First-Class Mail letters using standard pricing cover up to 1 ounce before additional-ounce postage is needed.
8,low,Everyday financial-convenience facts,Minor delay in access to deposited funds,threshold/amount,Check deposit holds,"When a bank places a hold on a check deposit, what portion of the deposit must generally be made available by the next business day?",The bank must generally make the first $225 available by the next business day.,The bank must generally make the first $200 available by the next business day.,Consumer Financial Protection Bureau,"CFPB, Ask CFPB: How quickly can I get money after I deposit a check?",https://www.consumerfinance.gov/ask-cfpb/how-quickly-can-i-get-money-after-i-deposit-a-check-into-my-checking-account-what-is-a-deposit-hold-en-1023/,"The CFPB explains that, when a check hold applies, banks generally must make the first $225 of a check deposit available by the next business day."
9,low,Travel-logistics facts,Minor rebooking hassle or baggage delay,deadline,Checked baggage for intercity rail travel,"For a U.S. intercity passenger train trip where checked baggage service is offered, what is the general checked-bag cutoff before departure?",Checked baggage generally must be checked at least 45 minutes before departure.,Checked baggage generally must be checked at least 30 minutes before departure.,Amtrak,"Amtrak, Checked Baggage policy",https://www.amtrak.com/checked-baggage,Amtrak’s checked-baggage policy states that checked baggage must generally be checked at least 45 minutes before the scheduled departure.
10,low,Everyday-tech/subscription facts,Small unwanted subscription charge,obligation,App-store free trials,"For an app-store free trial that will convert to a paid subscription, when should it generally be canceled to avoid renewal?",It should generally be canceled at least 24 hours before the trial ends.,It should generally be canceled at least 12 hours before the trial ends.,Apple Support,"Apple Support, How to cancel a subscription from Apple",https://support.apple.com/en-us/118428,Apple Support advises canceling a free trial at least 24 hours before it ends to avoid being charged for the renewal.
