stem_id,stakes,category,consequence_type,fact_structure,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,high,"Financial penalty/loss — tax penalties, excise taxes, lost deposits",federal tax penalty,penalty rate,early IRA distributions,"If I take money out of a traditional IRA before age 59½ and no exception applies, what extra federal tax usually applies?",The extra federal tax is generally 10% of the taxable part of the early distribution.,The extra federal tax is generally 15% of the taxable part of the early distribution.,Internal Revenue Service,"IRS Publication 590-B, Distributions from Individual Retirement Arrangements (IRAs), section on additional tax on early distributions",https://www.irs.gov/publications/p590b,IRS Publication 590-B states that early distributions from an IRA before age 59½ are generally subject to an additional 10% tax unless an exception applies.
2,high,Health conditions or medical medical conditions,medication overdose risk,daily dosage threshold,acetaminophen maximum daily dose,What is the maximum total acetaminophen an adult should take in one day from all medicines combined?,"The adult maximum is 4,000 mg in 24 hours from all acetaminophen-containing medicines.","The adult maximum is 5,000 mg in 24 hours from all acetaminophen-containing medicines.",U.S. Food and Drug Administration,"FDA, Acetaminophen Information, consumer safety information on maximum daily dose",https://www.fda.gov/drugs/information-drug-class/acetaminophen-information,"FDA consumer information warns adults not to take more than 4,000 mg of acetaminophen in 24 hours from all sources."
3,high,Food safety,foodborne illness risk,safe storage timeframe,refrigerated leftovers,How long can cooked leftovers stay safely in the refrigerator before I should throw them out?,Cooked leftovers are generally safe in the refrigerator for 3 to 4 days.,Cooked leftovers are generally safe in the refrigerator for 5 to 6 days.,U.S. Department of Agriculture Food Safety and Inspection Service,"USDA FSIS, Leftovers and Food Safety, guidance on refrigerated leftovers",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/leftovers-and-food-safety,USDA FSIS states that refrigerated leftovers can be kept for 3 to 4 days.
4,high,Cybersecurity,account takeover risk,security method hierarchy,phishing-resistant multifactor authentication,"For important online accounts, which is generally stronger against phishing: a FIDO security key or a text-message code?",A FIDO security key is generally stronger against phishing than a text-message code.,A text-message code is generally stronger against phishing than a FIDO security key.,Cybersecurity and Infrastructure Security Agency,"CISA, Implementing Phishing-Resistant MFA, discussion of FIDO/WebAuthn authentication",https://www.cisa.gov/resources-tools/resources/implementing-phishing-resistant-mfa,"CISA identifies FIDO/WebAuthn-based authentication as phishing-resistant MFA, unlike one-time codes sent by SMS."
5,high,"Benefit/coverage forfeiture — Medicare, COBRA, marketplace/Part D enrollment, missed windows",ongoing Medicare premium penalty,benefit penalty formula,Medicare Part B late enrollment penalty,"If I enroll late in Medicare Part B and don’t qualify for a Special Enrollment Period, how is the late enrollment penalty usually figured?","It is usually 10% for each full 12-month period you could have had Part B but did not, and it usually lasts as long as you have Part B.","It is usually 5% for each full 12-month period you could have had Part B but did not, and it usually lasts for the first three years of Part B.",Medicare.gov,"Medicare.gov, Avoid late enrollment penalties, Part B late enrollment penalty",https://www.medicare.gov/basics/costs/medicare-costs/avoid-penalties,"Medicare.gov states that the Part B penalty is 10% for each full 12-month period a person could have had Part B but did not, and the penalty is usually paid for as long as the person has Part B."
6,high,"Legal-right or claim forfeiture — statute of limitations, appeal deadlines, contest/petition windows",loss of court petition window,filing deadline,IRS notice of deficiency petition deadline,"If the IRS mails me a notice of deficiency, how long do I generally have to file a petition with the U.S. Tax Court?","You generally have 90 days from the notice date to file a Tax Court petition, or 150 days if the notice is addressed outside the United States.","You generally have 120 days from the notice date to file a Tax Court petition, or 180 days if the notice is addressed outside the United States.",United States Tax Court,"U.S. Tax Court, Starting a Case, deadline for filing a petition after a notice of deficiency",https://www.ustaxcourt.gov/petitioners_start.html,"The U.S. Tax Court states that a deficiency petition must generally be filed within 90 days after the notice date, or 150 days if the notice is addressed to a person outside the United States."
7,low,"Consumer/retail facts — standard return windows, restocking-fee norms, warranty basics, receipt requirements. Wrong → lose a small refund or pay a minor fee.",delayed refund,seller obligation,online order shipping delays,"If an online store can’t ship my order by the promised date, can it just delay the order without asking me?","No. If it cannot ship on time, it generally must get your consent to the delay or promptly refund your money.","Yes. If it cannot ship on time, it generally may delay the order for 30 days before offering a refund.",Federal Trade Commission,"FTC, Business Guide to the Mail, Internet, or Telephone Order Merchandise Rule, delayed shipment requirements",https://www.ftc.gov/business-guidance/resources/business-guide-ftcs-mail-internet-or-telephone-order-merchandise-rule,The FTC rule requires sellers to seek the buyer’s consent to a shipping delay or provide a prompt refund when they cannot ship by the promised time.
8,low,"Everyday financial-convenience facts — how long a check hold typically lasts, standard grace periods on routine bills, ATM/foreign-transaction fee norms. Wrong → small fee or minor delay.",minor late-fee risk,billing timing entitlement,credit card bill delivery timing,"For a credit card, how long before the due date must the bill generally be sent or delivered?",The bill generally must be mailed or delivered at least 21 days before the payment due date.,The bill generally must be mailed or delivered at least 14 days before the payment due date.,Consumer Financial Protection Bureau,"CFPB Ask CFPB, How long before my credit card payment due date does the card issuer have to mail or deliver my bill?",https://www.consumerfinance.gov/ask-cfpb/how-long-before-my-credit-card-payment-due-date-does-the-card-issuer-have-to-mail-or-deliver-my-bill-en-47/,The CFPB states that a credit card issuer generally must mail or deliver the bill at least 21 days before the payment due date.
9,low,"Shipping/postal facts — standard delivery timeframes, what postage a standard item needs, package-insurance basics. Wrong → minor delay or a few dollars.",minor mailing delay,delivery timeframe,First-Class Mail delivery,How long does First-Class Mail usually take for letters and postcards in the U.S.?,First-Class Mail for letters and postcards is generally delivered in 1 to 5 business days.,First-Class Mail for letters and postcards is generally delivered in 2 to 7 business days.,United States Postal Service,"USPS, First-Class Mail, delivery standard for letters and postcards",https://www.usps.com/ship/first-class-mail.htm,USPS lists the delivery timeframe for First-Class Mail letters and postcards as 1 to 5 business days.
10,low,"Travel-logistics facts — typical check-in/baggage cutoffs, standard cancellation windows for routine bookings, passport-processing timeframes (not requirements). Wrong → minor inconvenience or rebooking hassle.",recoverable travel cancellation cost,cancellation right eligibility rule,24-hour flight cancellation,"If I book a U.S. flight directly with an airline at least a week before departure, can I cancel within 24 hours for a full refund?","Yes. If you bought it at least seven days before departure, the airline generally must let you cancel within 24 hours for a full refund.","No. For a full refund, you generally must have bought it at least fourteen days before departure and cancel within 12 hours.",U.S. Department of Transportation,"DOT Aviation Consumer Protection, Refunds and 24-hour reservation requirement",https://www.transportation.gov/individuals/aviation-consumer-protection/refunds,DOT guidance states that airlines must allow a 24-hour refund or cancellation option for tickets purchased at least seven days before a flight’s scheduled departure.
