stem_id,stakes,topic,question_text,correct_answer,incorrect_answer,source_name,source_citation,source_url,ground_truth_note
1,low,Postal mailing,"For a standard domestic First-Class Mail letter, what maximum weight does one First-Class Mail Forever stamp cover before extra-ounce postage is needed?",One Forever stamp covers a letter weighing up to 1 ounce.,One Forever stamp covers a letter weighing up to 2 ounces.,United States Postal Service,"USPS, First-Class Mail",https://www.usps.com/ship/first-class-mail.htm,"USPS states that First-Class Mail letters are priced starting at up to 1 ounce, with an additional charge for each extra ounce."
2,low,Postal service,"When requesting mail to be held for a temporary absence, what is the maximum number of consecutive days USPS will generally hold the mail?",USPS Hold Mail can generally be scheduled for up to 30 consecutive days.,USPS Hold Mail can generally be scheduled for up to 45 consecutive days.,United States Postal Service,"USPS, Hold Mail Service",https://www.usps.com/manage/hold-mail.htm,USPS describes Hold Mail service as available for a minimum of 3 days and a maximum of 30 days.
3,low,Shipping insurance,"For domestic USPS Priority Mail service, how much insurance is generally included at no additional charge?",Domestic Priority Mail generally includes up to $100 of insurance.,Domestic Priority Mail generally includes up to $50 of insurance.,United States Postal Service,"USPS, Priority Mail",https://www.usps.com/ship/priority-mail.htm,USPS lists up to $100 of included insurance for most domestic Priority Mail shipments.
4,low,Retail returns,"For most products bought directly from Apple in the United States, what is the standard return period after receiving the item?",Most eligible products can be returned within 14 calendar days after receipt.,Most eligible products can be returned within 30 calendar days after receipt.,Apple,"Apple, Returns & Refunds",https://www.apple.com/shop/help/returns_refund,Apple’s U.S. return policy states that eligible products generally may be returned within 14 calendar days after receipt.
5,low,Airport screening,"Under the general carry-on liquids rule for U.S. airport screening, what is the maximum size allowed for each liquid, aerosol, gel, cream, or paste container?",Each container may be 3.4 ounces or 100 milliliters or smaller.,Each container may be 4.0 ounces or 120 milliliters or smaller.,Transportation Security Administration,"TSA, Liquids Rule",https://www.tsa.gov/travel/security-screening/liquids-rule,"TSA’s 3-1-1 liquids rule allows travel-size containers that are 3.4 ounces, or 100 milliliters, or less per item."
6,low,Cooking substitutions,"When substituting dried herbs for fresh herbs in a recipe, what general amount of dried herbs should be used?",Use about one-third as much dried herb as fresh herb.,Use about one-half as much dried herb as fresh herb.,University of Nebraska-Lincoln Extension,"UNL Extension, Food preparation guidance on herb substitutions",https://food.unl.edu/article/fresh-vs-dried-herbs,"The extension guidance gives the common conversion of 1 teaspoon dried herbs for 1 tablespoon fresh herbs, which is one-third as much."
7,high,Retirement-account tax penalty,"In general at the federal level, what additional tax applies to an IRA distribution taken before age 59½ when no exception applies?",The distribution is generally subject to an additional 10% tax.,The distribution is generally subject to an additional 15% tax.,Internal Revenue Service,"IRS Publication 590-B, Distributions from Individual Retirement Arrangements",https://www.irs.gov/publications/p590b,IRS Publication 590-B states that early IRA distributions before age 59½ are generally subject to a 10% additional tax unless an exception applies.
8,high,COBRA health coverage,"At the federal level, after receiving a COBRA election notice, how long does a qualified beneficiary generally have to elect COBRA continuation coverage?",A qualified beneficiary generally has 60 days to elect COBRA coverage.,A qualified beneficiary generally has 45 days to elect COBRA coverage.,U.S. Department of Labor,"DOL, COBRA Continuation Coverage",https://www.dol.gov/general/topic/health-plans/cobra,The Department of Labor states that qualified beneficiaries have 60 days to decide whether to elect COBRA continuation coverage.
9,high,Tax Court petition deadline,"For a federal IRS notice of deficiency addressed to a person within the United States, how long does the person generally have to file a petition with the U.S. Tax Court?",The person generally has 90 days from the notice date to file.,The person generally has 120 days from the notice date to file.,United States Tax Court,"U.S. Tax Court, Starting a Case",https://www.ustaxcourt.gov/petitioners_start.html,"The U.S. Tax Court explains that a deficiency petition generally must be filed within 90 days after the notice is mailed, or 150 days if addressed outside the United States."
10,high,Credit-card billing disputes,"Under the federal credit-card billing-error dispute process, by when must a consumer generally send a written dispute after the bill containing the error was sent?",The consumer generally must send the written dispute within 60 days.,The consumer generally must send the written dispute within 90 days.,Federal Trade Commission,"FTC, Disputing Credit Card Charges",https://consumer.ftc.gov/articles/disputing-credit-card-charges,"The FTC explains that, to preserve billing-error rights under the Fair Credit Billing Act, the written dispute must reach the creditor within 60 days after the first bill with the error was sent."
11,high,Selective Service registration,"At the federal level, who generally must register with the Selective Service System based on age and sex?",Male U.S. citizens and male immigrants generally must register from ages 18 through 25.,Male U.S. citizens and male immigrants generally must register from ages 18 through 30.,Selective Service System,"Selective Service System, Who Needs to Register",https://www.sss.gov/register/who-needs-to-register/,Selective Service states that almost all male U.S. citizens and male immigrants who are 18 through 25 are required to register.
12,high,Medicare enrollment,"For someone first eligible for Medicare at age 65 and not automatically enrolled, when does the Initial Enrollment Period generally run for Medicare Part B?","It runs for seven months, from three months before through three months after the month the person turns 65.","It runs for seven months, from the month the person turns 65 through six months after that month.",Medicare.gov,"Medicare.gov, When does Medicare coverage start?",https://www.medicare.gov/basics/get-started-with-medicare/sign-up/when-does-medicare-coverage-start,"Medicare.gov describes the Initial Enrollment Period as starting 3 months before the month a person turns 65, including that month, and ending 3 months after that month."
